rowid,autonumber,createdat,createdby,updatedat,updatedby,name,title,group_type,created_at_
rowsqu05uhzj,6,2026-06-18T05:13:03.451Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,629d8266-aed7-4b66-80d9-86c77481e7d2,Admin Department,2,
rowtmln89obt,7,2026-06-18T05:13:06.405Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,36beedcc-d192-4329-8d32-c20e40bf0888,Human Resources,2,
row52h10uojs,8,2026-06-18T05:13:09.512Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rownrhs2qb0m,9,2026-06-18T05:13:12.656Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowg5kitq45z,10,2026-06-18T05:13:15.566Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row2fz9wwval,11,2026-06-18T05:13:18.819Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row3mhwvtyek,12,2026-06-18T05:13:21.607Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,82327f78-409d-422c-9277-40b9918ec1eb,IT Department,2,
rowqoa7pr8ib,13,2026-06-18T05:13:24.631Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,067680b3-fbef-4af6-917f-2debc1df82ec,Receipt,2,
rowh983zqo7s,14,2026-06-18T05:13:27.801Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row8rv81tx4o,15,2026-06-18T05:13:30.883Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowgidre5shn,16,2026-06-18T05:13:33.689Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowexhpzlq6j,17,2026-06-18T05:13:36.709Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
row5al3o1aao,18,2026-06-18T05:13:39.772Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row7pd4yhha2,19,2026-06-18T05:13:42.767Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowlv1auijy7,20,2026-06-18T05:13:45.803Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
rowbd7opy086,21,2026-06-18T05:13:48.860Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowbpjhe6wbb,22,2026-06-18T05:13:51.925Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row7qbahoqal,23,2026-06-18T05:13:54.915Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rows3n2orxu6,24,2026-06-18T05:13:57.959Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,7979a030-cb6f-4d95-9d19-58ccb0883d86,Email,2,
row446lmghdp,25,2026-06-18T05:14:00.987Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,067680b3-fbef-4af6-917f-2debc1df82ec,Receipt,2,
rowg847h582t,26,2026-06-18T05:14:03.985Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,224f475d-091b-4f22-b1bc-d3b938fb06d4,MMC convert,2,
rowosw75yzt3,27,2026-06-18T05:14:07.030Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,224f475d-091b-4f22-b1bc-d3b938fb06d4,MMC convert,2,
rowb5usjjgfd,28,2026-06-18T05:14:10.034Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,224f475d-091b-4f22-b1bc-d3b938fb06d4,MMC convert,2,
