rowid,autonumber,createdat,createdby,updatedat,updatedby,keka_id,employment_status,account_status,invitation_status,is_private,is_profile_complete,joining_date,probation_end_date,in_probation,resignation_submitted_date,exit_date,exit_status,exit_type,exit_reason,total_experience_days,updated_at
rowt7u8e4g0w,6,2026-06-18T06:26:49.922Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,f131410e-74dc-4648-b594-83443ae10021,0,1,1,false,false,2026-05-25T00:00:00Z,2026-05-31T00:00:00Z,false,null,null,0,0,null,24,
rowooazbemmz,7,2026-06-18T06:26:50.404Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,f26e1582-6c0a-40e3-a085-0108cb1c70aa,0,1,1,false,false,2026-02-01T00:00:00Z,2026-02-15T00:00:00Z,false,null,null,0,0,null,137,
rowhkaaz0ktx,8,2026-06-18T06:26:51.658Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,6a875a23-9a52-4c76-b4a7-eaac75a22f46,0,1,1,false,false,2026-05-01T00:00:00Z,2026-05-24T00:00:00Z,false,null,null,0,0,null,48,
rowj8qehgfuy,9,2026-06-18T06:26:53.912Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,06380524-742f-4169-b6ed-8ad5c87ed11b,0,1,1,false,false,2026-05-01T00:00:00Z,2026-05-31T00:00:00Z,false,null,null,0,0,null,48,
rowvendqqlmt,10,2026-06-18T06:26:56.900Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,0e8fa4c1-d04d-4484-a0e3-5e9a9a384757,0,1,1,false,false,2026-06-01T00:00:00Z,2026-06-02T00:00:00Z,false,null,null,0,0,null,17,
rowrnfprwnfj,11,2026-06-18T06:26:59.922Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,b2ca7e13-bc7d-4d60-bf8d-fa60b067b940,1,1,1,false,false,2024-01-22T00:00:00Z,2024-07-22T00:00:00Z,false,2026-03-12T12:33:34.62Z,2026-03-01T00:00:00Z,2,2,Medical Condition,878,
rowd2l9zvz67,12,2026-06-18T06:27:02.929Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,88401aaa-0f30-46b7-ad51-eace859bdb9c,1,1,1,false,false,2023-11-06T00:00:00Z,2023-12-11T00:00:00Z,false,2026-05-11T02:00:05.633Z,2026-05-01T00:00:00Z,2,2,Medical Condition,955,
rowey067ds1l,13,2026-06-18T06:27:05.933Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,62177c61-4a97-4e98-843d-a7e7b1617161,1,1,1,false,false,2022-01-26T00:00:00Z,2022-07-26T00:00:00Z,false,2025-12-10T08:58:10.473Z,2025-12-01T00:00:00Z,2,2,Medical Condition,1604,
rowkq7gs9nep,14,2026-06-18T06:27:09.141Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,c9b58a0b-71d5-4f9f-ab44-536cf413a057,1,1,1,false,false,2024-04-03T00:00:00Z,2024-10-03T00:00:00Z,false,2025-07-06T03:03:29.593Z,2025-07-01T00:00:00Z,2,2,Medical Condition,806,
row2ugij45ef,15,2026-06-18T06:27:12.161Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,89fcd7b4-fc06-4806-9b37-a42a9f2fca2b,0,1,1,false,false,2024-04-08T00:00:00Z,2024-10-08T00:00:00Z,false,null,null,0,0,null,801,
rowgi0kmofru,16,2026-06-18T06:27:15.148Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,20cbb226-b78e-44c0-8e1d-63be800a3be1,1,0,1,false,false,2024-04-01T00:00:00Z,2024-10-10T00:00:00Z,false,2024-10-10T12:06:00.083Z,2024-08-30T00:00:00Z,2,2,Performance Issue,808,
row35bcap4kw,17,2026-06-18T06:27:18.195Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,10ec8902-9341-4151-9e4d-b054ac9d122e,1,0,1,false,false,2024-04-01T00:00:00Z,2024-10-12T00:00:00Z,true,2024-06-29T11:20:18.68Z,2024-05-01T00:00:00Z,2,2,Performance Issue,808,
row5ujdwenu7,18,2026-06-18T06:27:21.151Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,1e5bff18-2372-4b75-9efb-1b284125ff5b,1,0,1,false,false,2024-04-13T00:00:00Z,2024-10-13T00:00:00Z,true,2024-10-10T10:46:09.19Z,2024-09-04T00:00:00Z,2,2,Performance Issue,796,
rowqxx4jl79l,19,2026-06-18T06:27:24.175Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,3c1a94d7-21a7-47bf-b9ed-4251099667e0,0,1,1,false,false,2024-04-15T00:00:00Z,2024-10-15T00:00:00Z,false,null,null,0,0,null,794,
rowava0khbcg,20,2026-06-18T06:27:27.141Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,7afc2b48-cffb-4aa4-a543-30fa7e4e2640,1,0,1,false,false,2024-04-01T00:00:00Z,2024-10-24T00:00:00Z,true,2024-06-29T11:21:13.453Z,2024-05-31T00:00:00Z,2,2,Performance Issue,808,
rownhj7qsih8,21,2026-06-18T06:27:30.395Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,974192d8-e4f7-41e5-ab15-e86f56fc5189,1,1,1,false,false,2024-04-22T00:00:00Z,2024-10-22T00:00:00Z,false,2025-06-09T09:35:38.607Z,2025-05-01T00:00:00Z,2,2,Medical Condition,787,
rowqf74qdp3e,22,2026-06-18T06:27:33.200Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2dbe26e1-930e-4bb2-85e8-1fc4c506412c,1,1,1,false,false,2024-11-01T00:00:00Z,2024-11-30T00:00:00Z,false,2024-12-18T08:50:12.617Z,2024-12-01T00:00:00Z,2,2,Misconduct,594,
rowby6wlyai8,23,2026-06-18T06:27:36.393Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,56ef5f4b-3fe6-4932-a0d1-918c8d44983e,0,1,1,false,false,2023-10-27T00:00:00Z,2024-04-27T00:00:00Z,false,null,null,0,0,null,965,
rowu26os1lno,24,2026-06-18T06:27:39.392Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,5e5569fa-e5c3-4415-93b3-0ce52fe34c1e,1,1,1,false,false,2024-04-24T00:00:00Z,2024-10-24T00:00:00Z,true,2024-07-23T07:37:31.343Z,2024-06-30T00:00:00Z,2,2,Performance Issue,785,
row1yr17elu7,25,2026-06-18T06:27:42.395Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,6ddf5bd9-5cd3-4f9e-8c61-f4001a15e21a,0,0,1,false,false,2021-01-01T00:00:00Z,2021-07-01T00:00:00Z,false,null,null,0,0,null,1994,
rowk0npdz2ee,26,2026-06-18T06:27:45.329Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,00abafad-7d38-4c54-937a-9dfb18b6694f,0,1,1,false,false,2013-06-22T00:00:00Z,2013-12-22T00:00:00Z,false,null,null,0,0,null,4744,
